Suite ID	Suite owner	Description	To keep	Deprecated
abritamr	iuc	A pipeline for running AMRfinderPlus and collating results into functional classes	True	False
aldex2	iuc	Performs analysis Of differential abundance taking sample variation into account	True	False
fastp	iuc	Fast all-in-one preprocessing for FASTQ files	True	False
spades	iuc	SPAdes is an assembly toolkit containing various assembly pipelines. It implements the following 4 stages: assembly graph construction, k-bimer adjustment, construction of paired assembly graph and contig construction.	True	False
